"","State","Date","Weeks Delayed","Deaths (as recorded in last released dataset)","State Population (in millions)","Deaths per Million of State Population"
"1","Alabama","2020-04-04",6,1180,4.903185,240.659897597174
"2","Alabama","2020-04-11",6,1149,4.903185,234.337476558604
"3","Alabama","2020-04-18",7,1165,4.903185,237.600661610769
"4","Alabama","2020-04-25",7,1157,4.903185,235.969069084687
"5","Alabama","2020-05-02",6,1158,4.903185,236.173018150447
"6","Alabama","2020-05-09",6,1198,4.903185,244.33098078086
"7","Alabama","2020-05-16",6,1172,4.903185,239.028305071092
"8","Alabama","2020-05-23",7,1158,4.903185,236.173018150447
"9","Alabama","2020-05-30",8,1127,4.903185,229.850597111877
"10","Alabama","2020-06-06",7,1202,4.903185,245.146777043901
"11","Alabama","2020-06-13",6,1150,4.903185,234.541425624365
"12","Alabama","2020-06-20",6,1104,4.903185,225.15976859939
"13","Alabama","2020-06-27",7,1181,4.903185,240.863846662934
"14","Alabama","2020-07-04",7,1244,4.903185,253.712637805834
"15","Alabama","2020-07-11",6,1296,4.903185,264.317989225371
"16","Alabama","2020-07-18",6,1306,4.903185,266.357479882974
"17","Alabama","2020-07-25",5,1376,4.903185,280.633914486196
"18","Alabama","2020-08-01",6,1410,4.903185,287.568182722047
"19","Alabama","2020-08-08",8,1395,4.903185,284.508946735642
"20","Alabama","2020-08-15",6,1338,4.903185,272.883849987304
"21","Alabama","2020-08-22",7,1322,4.903185,269.620664935139
"22","Alabama","2020-08-29",7,1245,4.903185,253.916586871595
"23","Alabama","2020-09-05",6,1247,4.903185,254.324485003115
"24","Alaska","2020-04-04",10,101,0.731545,138.063960521909
"25","Alaska","2020-04-11",11,84,0.731545,114.825472117231
"26","Alaska","2020-04-18",10,84,0.731545,114.825472117231
"27","Alaska","2020-04-25",10,69,0.731545,94.3209235248686
"28","Alaska","2020-05-02",10,88,0.731545,120.293351741861
"29","Alaska","2020-05-09",12,97,0.731545,132.596080897279
"30","Alaska","2020-05-16",11,86,0.731545,117.559411929546
"31","Alaska","2020-05-23",11,86,0.731545,117.559411929546
"32","Alaska","2020-05-30",8,103,0.731545,140.797900334224
"33","Alaska","2020-06-06",13,82,0.731545,112.091532304916
"34","Alaska","2020-06-13",9,90,0.731545,123.027291554176
"35","Alaska","2020-06-20",12,92,0.731545,125.761231366491
"36","Alaska","2020-06-27",12,93,0.731545,127.128201272649
"37","Alaska","2020-07-04",10,83,0.731545,113.458502211074
"38","Alaska","2020-07-11",12,102,0.731545,139.430930428067
"39","Alaska","2020-07-18",12,90,0.731545,123.027291554176
"40","Alaska","2020-07-25",11,95,0.731545,129.862141084964
"41","Alaska","2020-08-01",7,111,0.731545,151.733659583484
"42","Alaska","2020-08-08",10,107,0.731545,146.265779958854
"43","Alaska","2020-08-15",10,76,0.731545,103.889712867971
"44","Alaska","2020-08-22",9,119,0.731545,162.669418832744
"45","Alaska","2020-08-29",11,93,0.731545,127.128201272649
"46","Alaska","2020-09-05",13,100,0.731545,136.696990615752
"47","Arizona","2020-04-04",4,1323,7.278717,181.762802427955
"48","Arizona","2020-04-11",4,1375,7.278717,188.906918623158
"49","Arizona","2020-04-18",4,1292,7.278717,177.503810080815
"50","Arizona","2020-04-25",4,1372,7.278717,188.494758073435
"51","Arizona","2020-05-02",4,1384,7.278717,190.143400272328
"52","Arizona","2020-05-09",4,1401,7.278717,192.47897672076
"53","Arizona","2020-05-16",4,1300,7.278717,178.602904880077
"54","Arizona","2020-05-23",3,1251,7.278717,171.870949234597
"55","Arizona","2020-05-30",5,1297,7.278717,178.190744330354
"56","Arizona","2020-06-06",4,1385,7.278717,190.280787122236
"57","Arizona","2020-06-13",5,1458,7.278717,200.310027165502
"58","Arizona","2020-06-20",4,1531,7.278717,210.339267208768
"59","Arizona","2020-06-27",4,1589,7.278717,218.307704503417
"60","Arizona","2020-07-04",4,1767,7.278717,242.762563786997
"61","Arizona","2020-07-11",4,1923,7.278717,264.194912372606
"62","Arizona","2020-07-18",4,1949,7.278717,267.766970470208
"63","Arizona","2020-07-25",4,1828,7.278717,251.14316163137
"64","Arizona","2020-08-01",3,1760,7.278717,241.800855837643
"65","Arizona","2020-08-08",3,1564,7.278717,214.873033255723
"66","Arizona","2020-08-15",4,1502,7.278717,206.355048561443
"67","Arizona","2020-08-22",4,1474,7.278717,202.508216764026
"68","Arizona","2020-08-29",3,1444,7.278717,198.386611266793
"69","Arizona","2020-09-05",5,1286,7.278717,176.679488981369
"70","Arkansas","2020-04-04",5,618,3.017804,204.784671237761
"71","Arkansas","2020-04-11",5,633,3.017804,209.755172966833
"72","Arkansas","2020-04-18",4,642,3.017804,212.737474004276
"73","Arkansas","2020-04-25",5,628,3.017804,208.098339057142
"74","Arkansas","2020-05-02",4,636,3.017804,210.749273312647
"75","Arkansas","2020-05-09",4,666,3.017804,220.690276770791
"76","Arkansas","2020-05-16",5,596,3.017804,197.494602035122
"77","Arkansas","2020-05-23",5,656,3.017804,217.37660895141
"78","Arkansas","2020-05-30",5,627,3.017804,207.766972275204
"79","Arkansas","2020-06-06",5,662,3.017804,219.364809643038
"80","Arkansas","2020-06-13",5,675,3.017804,223.672577808234
"81","Arkansas","2020-06-20",5,710,3.017804,235.270415176068
"82","Arkansas","2020-06-27",5,678,3.017804,224.666678154048
"83","Arkansas","2020-07-04",5,700,3.017804,231.956747356687
"84","Arkansas","2020-07-11",5,677,3.017804,224.33531137211
"85","Arkansas","2020-07-18",5,704,3.017804,233.28221448444
"86","Arkansas","2020-07-25",4,728,3.017804,241.235017250955
"87","Arkansas","2020-08-01",5,754,3.017804,249.850553581346
"88","Arkansas","2020-08-08",5,750,3.017804,248.525086453593
"89","Arkansas","2020-08-15",5,788,3.017804,261.117024167242
"90","Arkansas","2020-08-22",6,744,3.017804,246.536885761965
"91","Arkansas","2020-08-29",5,742,3.017804,245.874152198088
"92","Arkansas","2020-09-05",5,708,3.017804,234.607681612192
"93","California","2020-04-04",4,5972,39.512223,151.143103236687
"94","California","2020-04-11",3,6019,39.512223,152.332608570264
"95","California","2020-04-18",5,6109,39.512223,154.610384740945
"96","California","2020-04-25",5,5922,39.512223,149.877672030754
"97","California","2020-05-02",4,5695,39.512223,144.132614355816
"98","California","2020-05-09",4,5645,39.512223,142.867183149883
"99","California","2020-05-16",4,5667,39.512223,143.423972880493
"100","California","2020-05-23",5,5529,39.512223,139.931382752117
"101","California","2020-05-30",4,5567,39.512223,140.893110468626
"102","California","2020-06-06",5,5494,39.512223,139.045580907964
"103","California","2020-06-13",5,5559,39.512223,140.690641475677
"104","California","2020-06-20",4,5458,39.512223,138.134470439692
"105","California","2020-06-27",4,5686,39.512223,143.904836738748
"106","California","2020-07-04",4,5868,39.512223,148.511006328346
"107","California","2020-07-11",4,6038,39.512223,152.813472428519
"108","California","2020-07-18",5,6228,39.512223,157.622111011066
"109","California","2020-07-25",4,6226,39.512223,157.571493762829
"110","California","2020-08-01",4,6324,39.512223,160.051738926458
"111","California","2020-08-08",5,6286,39.512223,159.090011209949
"112","California","2020-08-15",4,6264,39.512223,158.533221479338
"113","California","2020-08-22",5,6441,39.512223,163.012847948342
"114","California","2020-08-29",4,5864,39.512223,148.409771831871
"115","California","2020-09-05",5,5767,39.512223,145.95483529236
"116","Colorado","2020-04-04",6,958,5.758736,166.355950333545
"117","Colorado","2020-04-11",5,1086,5.758736,188.583050169343
"118","Colorado","2020-04-18",5,1110,5.758736,192.750631388555
"119","Colorado","2020-04-25",5,1062,5.758736,184.415468950131
"120","Colorado","2020-05-02",6,996,5.758736,172.954620597298
"121","Colorado","2020-05-09",4,894,5.758736,155.242400415647
"122","Colorado","2020-05-16",3,870,5.758736,151.074819196435
"123","Colorado","2020-05-23",4,843,5.758736,146.386290324821
"124","Colorado","2020-05-30",4,820,5.758736,142.392358323076
"125","Colorado","2020-06-06",4,810,5.758736,140.655866148405
"126","Colorado","2020-06-13",4,801,5.758736,139.0930231912
"127","Colorado","2020-06-20",4,851,5.758736,147.775484064559
"128","Colorado","2020-06-27",5,853,5.758736,148.122782499493
"129","Colorado","2020-07-04",7,776,5.758736,134.751792754521
"130","Colorado","2020-07-11",6,803,5.758736,139.440321626135
"131","Colorado","2020-07-18",5,784,5.758736,136.140986494258
"132","Colorado","2020-07-25",3,819,5.758736,142.218709105609
"133","Colorado","2020-08-01",3,803,5.758736,139.440321626135
"134","Colorado","2020-08-08",4,819,5.758736,142.218709105609
"135","Colorado","2020-08-15",3,828,5.758736,143.781552062814
